embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-2.028262,-0.66265625,test_000000,1,promoter,promoter,chr19,36111011,36111311,test
1,4.6524796,0.43652454,test_000001,0,background,random_background_test,chr22,41702137,41702437,test
2,1.918869,-0.5269991,test_000002,0,background,random_background_test,chr22,18786810,18787110,test
3,3.3772082,-0.08909311,test_000003,0,background,random_background_test,chr22,23498051,23498351,test
4,-6.008377,0.39054567,test_000004,1,promoter,promoter,chr19,50983927,50984227,test
5,6.799457,1.4773579,test_000005,0,background,random_background_test,chr20,47316492,47316792,test
6,-6.9596405,0.85113174,test_000006,1,promoter,promoter,chr19,32580929,32581229,test
7,2.3801441,-0.37719017,test_000007,0,background,random_background_test,chr21,27236510,27236810,test
8,-1.9254858,-0.48493853,test_000008,1,promoter,promoter,chr22,27573363,27573663,test
9,6.708647,1.5352288,test_000009,0,background,random_background_test,chr19,30953389,30953689,test
10,1.2003342,-0.5999478,test_000010,0,background,random_background_test,chr19,40526493,40526793,test
11,-1.6151044,-0.75703704,test_000011,0,background,random_background_test,chr22,35849944,35850244,test
12,5.3403907,0.73148715,test_000012,0,background,random_background_test,chr22,49505325,49505625,test
13,7.282092,1.9429023,test_000013,0,background,random_background_test,chr19,32147031,32147331,test
14,-8.261598,1.6197791,test_000014,1,promoter,promoter,chr20,33994340,33994640,test
15,-2.1690388,-0.626672,test_000015,0,background,random_background_test,chr22,46677862,46678162,test
16,-1.0683016,-0.6622421,test_000016,1,promoter,promoter,chr19,58559212,58559512,test
17,1.3609688,-0.54723,test_000017,0,background,random_background_test,chr19,5959437,5959737,test
18,-5.956588,0.38734776,test_000018,1,promoter,promoter,chr20,46894503,46894803,test
19,6.8094487,1.5164204,test_000019,0,background,random_background_test,chr20,29692234,29692534,test
20,3.8528857,0.015154097,test_000020,0,background,random_background_test,chr19,4202116,4202416,test
21,0.9748581,-0.59755695,test_000021,1,promoter,promoter,chr22,41940142,41940442,test
22,1.2633728,-0.5885089,test_000022,1,promoter,promoter,chr20,57351542,57351842,test
23,6.4477496,1.2852405,test_000023,0,background,random_background_test,chr21,14681587,14681887,test
24,6.165468,1.1898146,test_000024,0,background,random_background_test,chr20,42924001,42924301,test
25,-3.750003,-0.4417884,test_000025,1,promoter,promoter,chr20,44355844,44356144,test
26,-2.297696,-0.6267732,test_000026,1,promoter,promoter,chr19,12969618,12969918,test
27,0.541862,-0.53359276,test_000027,1,promoter,promoter,chr22,22376012,22376312,test
28,-4.8533926,-0.08772239,test_000028,1,promoter,promoter,chr20,266933,267233,test
29,-8.350643,1.826892,test_000029,1,promoter,promoter,chr22,50185738,50186038,test
30,4.7103,0.3268654,test_000030,0,background,random_background_test,chr21,31887147,31887447,test
31,6.2152767,1.1265867,test_000031,0,background,random_background_test,chr20,3545398,3545698,test
32,1.4190861,-0.55721694,test_000032,0,background,random_background_test,chr21,15431565,15431865,test
33,4.3851705,0.21603703,test_000033,0,background,random_background_test,chr21,23125645,23125945,test
34,5.5865564,0.8259967,test_000034,0,background,random_background_test,chr19,10505191,10505491,test
35,-1.6373551,-0.64177716,test_000035,1,promoter,promoter,chr19,6772770,6773070,test
36,1.9465971,-0.50853753,test_000036,1,promoter,promoter,chr19,18022162,18022462,test
37,1.7940814,-0.532985,test_000037,1,promoter,promoter,chr21,31840332,31840632,test
38,-7.0047007,0.8442291,test_000038,1,promoter,promoter,chr21,37366833,37367133,test
39,-7.8534775,1.2717175,test_000039,1,promoter,promoter,chr22,43343286,43343586,test
40,0.98882765,-0.5861359,test_000040,0,background,random_background_test,chr21,11877009,11877309,test
41,-0.60856956,-0.7902413,test_000041,1,promoter,promoter,chr22,22043544,22043844,test
42,0.33631033,-0.61522394,test_000042,0,background,random_background_test,chr20,20871277,20871577,test
43,-7.966121,1.3802704,test_000043,1,promoter,promoter,chr20,2873638,2873938,test
44,-7.7311015,1.3458322,test_000044,1,promoter,promoter,chr19,46746332,46746632,test
45,6.1250963,1.157691,test_000045,0,background,random_background_test,chr21,28384105,28384405,test
46,-5.840732,0.42632717,test_000046,1,promoter,promoter,chr20,324395,324695,test
47,0.47343722,-0.710666,test_000047,0,background,random_background_test,chr19,30564983,30565283,test
48,2.222114,-0.44419685,test_000048,0,background,random_background_test,chr20,49467576,49467876,test
49,-4.20043,-0.33381048,test_000049,1,promoter,promoter,chr19,12751717,12752017,test
50,2.6658778,-0.3917723,test_000050,0,background,random_background_test,chr20,37052829,37053129,test
51,-5.968167,0.2921338,test_000051,1,promoter,promoter,chr20,63547631,63547931,test
