embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-7.912498,1.1931646,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,6.33561,-2.547272,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,6.33236,-0.11184593,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,1.3959241,-1.2691497,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,-2.8956604,-1.0259843,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,3.1992536,-1.9366395,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,0.7596638,8.823915,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,-10.428681,3.7028112,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,3.5283456,-2.5602036,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,2.0696776,-2.6082177,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,-9.315679,2.634758,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,-4.801612,-1.9197925,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,3.3987176,-0.63357717,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,-0.023950852,-3.1661847,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,5.945676,1.0430292,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,6.304612,5.5564446,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,-2.844002,-2.0249388,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,-2.8507743,-1.9279367,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,2.0287526,0.6328267,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,2.9539227,-1.4386494,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,-4.7182584,-1.3443781,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,-8.03362,1.654569,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,-8.395491,0.90904534,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,2.1895728,-3.8133702,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,-0.94198716,7.6705046,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,1.6162657,-3.3609002,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,4.2802854,-2.2663052,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,5.329575,-0.851473,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,5.42961,1.7205225,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,-2.1074831,-2.462995,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,-6.6891956,-0.6485486,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,3.3167357,-3.336184,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,5.465478,2.8306544,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,-1.192135,-3.4255667,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,-9.921441,3.632936,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,4.320034,-2.4266174,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
36,0.19492303,1.4804066,test_000036,1,promoter,promoter,chr20,58888208,58888408,test
37,8.114378,3.7176726,test_000037,0,background,random_background_test,chr22,39934830,39935030,test
38,-1.8972013,-1.4834177,test_000038,1,promoter,promoter,chr19,6772820,6773020,test
39,5.924461,0.096727796,test_000039,0,background,random_background_test,chr20,57626975,57627175,test
40,4.3299136,6.816738,test_000040,0,background,random_background_test,chr20,13646087,13646287,test
41,-9.837888,3.1662374,test_000041,1,promoter,promoter,chr19,13151797,13151997,test
42,3.2941146,-2.559358,test_000042,0,background,random_background_test,chr20,55749106,55749306,test
43,5.766261,-1.0395939,test_000043,0,background,random_background_test,chr20,28623221,28623421,test
44,2.9876192,-2.9472468,test_000044,0,background,random_background_test,chr19,21849790,21849990,test
45,3.709643,-1.1928247,test_000045,0,background,random_background_test,chr22,29271588,29271788,test
46,5.4034505,0.57479846,test_000046,0,background,random_background_test,chr20,46071300,46071500,test
47,-4.3471017,-0.992838,test_000047,1,promoter,promoter,chr19,36330346,36330546,test
48,3.7987115,-1.477526,test_000048,0,background,random_background_test,chr20,53882346,53882546,test
49,-8.666903,1.3326305,test_000049,1,promoter,promoter,chr20,33489798,33489998,test
50,0.23221534,-2.508394,test_000050,1,promoter,promoter,chr19,3478845,3479045,test
51,4.6518145,5.081281,test_000051,0,background,random_background_test,chr19,48726095,48726295,test
52,-0.7303931,-2.362994,test_000052,1,promoter,promoter,chr19,18333346,18333546,test
53,2.0649002,-3.0485249,test_000053,0,background,random_background_test,chr22,47385105,47385305,test
54,-0.9353757,-3.3497796,test_000054,1,promoter,promoter,chr19,42855627,42855827,test
55,-2.882951,-2.0659993,test_000055,1,promoter,promoter,chr19,12688071,12688271,test
56,8.259565,3.3298476,test_000056,0,background,random_background_test,chr19,54722539,54722739,test
57,-6.743872,-0.44732556,test_000057,0,background,random_background_test,chr19,4400053,4400253,test
58,2.9140701,-1.4419332,test_000058,1,promoter,promoter,chr22,16825403,16825603,test
59,-7.6569133,1.5889517,test_000059,1,promoter,promoter,chr19,57578908,57579108,test
60,9.765633,4.7246304,test_000060,0,background,random_background_test,chr20,1522494,1522694,test
61,4.37464,-3.201865,test_000061,1,promoter,promoter,chr20,45546167,45546367,test
62,-10.572447,4.158897,test_000062,1,promoter,promoter,chr20,17226787,17226987,test
63,1.0378016,-3.6472318,test_000063,1,promoter,promoter,chr19,51646915,51647115,test
64,-6.063753,-0.26625398,test_000064,1,promoter,promoter,chr22,31496029,31496229,test
65,2.112448,-3.3797972,test_000065,1,promoter,promoter,chr22,39946651,39946851,test
66,-2.5443134,-0.9849455,test_000066,1,promoter,promoter,chr19,37595090,37595290,test
67,-5.336543,-0.45225957,test_000067,1,promoter,promoter,chr22,29603989,29604189,test
