embedding_index,pc1,pc2,id,label,label_name,source,chrom,start,end,split
0,-7.753452,-2.235209,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,4.6915417,0.90587085,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,7.0137854,-0.31006932,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,1.5996981,2.3784304,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,-1.7791427,1.5617774,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,2.4383683,2.9381478,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,1.2330592,-8.463277,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,-10.06186,-3.3769364,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,4.7111826,1.6190331,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,1.628501,2.3394635,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,-8.304196,-1.6418238,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,-5.395636,-0.57287395,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,2.5956948,1.951517,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,-0.9279327,2.4424434,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,4.3279514,0.122214645,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,6.72465,-3.887411,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,-3.7645707,1.5984486,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,-5.049192,0.42063814,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,2.0701215,-1.2935034,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,1.8914376,2.5368085,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,-3.3245802,1.2280627,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,-7.91784,-0.98397994,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,-7.841524,-1.3992345,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,2.015474,2.6970623,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,1.8577273,-7.0371385,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,1.8808987,3.00697,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,5.3730273,1.2246046,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,3.7490196,2.2015502,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,5.100523,-0.3563185,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,-3.8849535,1.7948729,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,-6.3242126,0.41876337,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,5.3318157,1.1639471,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,6.136428,0.0973657,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,-1.0857722,2.7496939,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,-9.453181,-2.8869016,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,3.36265,2.4597309,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
36,-0.59112483,-2.4675014,test_000036,1,promoter,promoter,chr20,58888208,58888408,test
37,7.794277,-2.3062446,test_000037,0,background,random_background_test,chr22,39934830,39935030,test
38,-1.9784248,0.46799335,test_000038,1,promoter,promoter,chr19,6772820,6773020,test
39,7.050915,-1.6261907,test_000039,0,background,random_background_test,chr20,57626975,57627175,test
40,5.3025017,-6.516651,test_000040,0,background,random_background_test,chr20,13646087,13646287,test
41,-9.330688,-1.8315936,test_000041,1,promoter,promoter,chr19,13151797,13151997,test
42,2.7724652,2.750288,test_000042,0,background,random_background_test,chr20,55749106,55749306,test
43,5.8391976,0.8463617,test_000043,0,background,random_background_test,chr20,28623221,28623421,test
44,2.9342556,2.2709467,test_000044,0,background,random_background_test,chr19,21849790,21849990,test
45,1.4437771,2.3609784,test_000045,0,background,random_background_test,chr22,29271588,29271788,test
46,4.674345,1.004827,test_000046,0,background,random_background_test,chr20,46071300,46071500,test
47,-5.007075,0.71784383,test_000047,1,promoter,promoter,chr19,36330346,36330546,test
48,4.922953,1.5268956,test_000048,0,background,random_background_test,chr20,53882346,53882546,test
49,-8.225265,-1.5862007,test_000049,1,promoter,promoter,chr20,33489798,33489998,test
50,-2.3424654,2.8928833,test_000050,1,promoter,promoter,chr19,3478845,3479045,test
51,4.045869,-4.0949936,test_000051,0,background,random_background_test,chr19,48726095,48726295,test
52,1.5740725,1.2928203,test_000052,1,promoter,promoter,chr19,18333346,18333546,test
53,0.8083673,2.182393,test_000053,0,background,random_background_test,chr22,47385105,47385305,test
54,-0.5860503,2.3679893,test_000054,1,promoter,promoter,chr19,42855627,42855827,test
55,-0.6812203,2.365328,test_000055,1,promoter,promoter,chr19,12688071,12688271,test
