embedding_index,id,label,label_name,source,chrom,start,end,split
0,test_000000,1,promoter,promoter,chr19,36111011,36111311,test
1,test_000001,0,background,random_background_test,chr22,41702137,41702437,test
2,test_000002,0,background,random_background_test,chr22,18786810,18787110,test
3,test_000003,0,background,random_background_test,chr22,23498051,23498351,test
4,test_000004,1,promoter,promoter,chr19,50983927,50984227,test
5,test_000005,0,background,random_background_test,chr20,47316492,47316792,test
6,test_000006,1,promoter,promoter,chr19,32580929,32581229,test
7,test_000007,0,background,random_background_test,chr21,27236510,27236810,test
8,test_000008,1,promoter,promoter,chr22,27573363,27573663,test
9,test_000009,0,background,random_background_test,chr19,30953389,30953689,test
10,test_000010,0,background,random_background_test,chr19,40526493,40526793,test
11,test_000011,0,background,random_background_test,chr22,35849944,35850244,test
12,test_000012,0,background,random_background_test,chr22,49505325,49505625,test
13,test_000013,0,background,random_background_test,chr19,32147031,32147331,test
14,test_000014,1,promoter,promoter,chr20,33994340,33994640,test
15,test_000015,0,background,random_background_test,chr22,46677862,46678162,test
16,test_000016,1,promoter,promoter,chr19,58559212,58559512,test
17,test_000017,0,background,random_background_test,chr19,5959437,5959737,test
18,test_000018,1,promoter,promoter,chr20,46894503,46894803,test
19,test_000019,0,background,random_background_test,chr20,29692234,29692534,test
20,test_000020,0,background,random_background_test,chr19,4202116,4202416,test
21,test_000021,1,promoter,promoter,chr22,41940142,41940442,test
22,test_000022,1,promoter,promoter,chr20,57351542,57351842,test
23,test_000023,0,background,random_background_test,chr21,14681587,14681887,test
24,test_000024,0,background,random_background_test,chr20,42924001,42924301,test
25,test_000025,1,promoter,promoter,chr20,44355844,44356144,test
26,test_000026,1,promoter,promoter,chr19,12969618,12969918,test
27,test_000027,1,promoter,promoter,chr22,22376012,22376312,test
28,test_000028,1,promoter,promoter,chr20,266933,267233,test
29,test_000029,1,promoter,promoter,chr22,50185738,50186038,test
30,test_000030,0,background,random_background_test,chr21,31887147,31887447,test
31,test_000031,0,background,random_background_test,chr20,3545398,3545698,test
32,test_000032,0,background,random_background_test,chr21,15431565,15431865,test
33,test_000033,0,background,random_background_test,chr21,23125645,23125945,test
