embedding_index,id,label,label_name,source,chrom,start,end,split
0,test_000000,1,promoter,promoter,chr19,5690110,5690310,test
1,test_000001,0,background,random_background_test,chr22,40310439,40310639,test
2,test_000002,0,background,random_background_test,chr20,5382203,5382403,test
3,test_000003,1,promoter,promoter,chr19,14408610,14408810,test
4,test_000004,1,promoter,promoter,chr19,11529114,11529314,test
5,test_000005,0,background,random_background_test,chr21,30638683,30638883,test
6,test_000006,1,promoter,promoter,chr19,54199889,54200089,test
7,test_000007,1,promoter,promoter,chr20,63216173,63216373,test
8,test_000008,0,background,random_background_test,chr22,37875596,37875796,test
9,test_000009,1,promoter,promoter,chr21,29222177,29222377,test
10,test_000010,1,promoter,promoter,chr19,35856724,35856924,test
11,test_000011,1,promoter,promoter,chr19,9362952,9363152,test
12,test_000012,1,promoter,promoter,chr22,38681535,38681735,test
13,test_000013,0,background,random_background_test,chr20,38350994,38351194,test
14,test_000014,0,background,random_background_test,chr20,29130401,29130601,test
15,test_000015,0,background,random_background_test,chr20,37605793,37605993,test
16,test_000016,1,promoter,promoter,chr21,44580350,44580550,test
17,test_000017,1,promoter,promoter,chr19,18224306,18224506,test
18,test_000018,0,background,random_background_test,chr19,16286791,16286991,test
19,test_000019,1,promoter,promoter,chr20,4074872,4075072,test
20,test_000020,1,promoter,promoter,chr19,45160951,45161151,test
21,test_000021,0,background,random_background_test,chr20,32584142,32584342,test
22,test_000022,1,promoter,promoter,chr22,42269669,42269869,test
23,test_000023,0,background,random_background_test,chr21,40184338,40184538,test
24,test_000024,0,background,random_background_test,chr19,16306514,16306714,test
25,test_000025,0,background,random_background_test,chr19,22509525,22509725,test
26,test_000026,1,promoter,promoter,chr19,35712942,35713142,test
27,test_000027,1,promoter,promoter,chr19,58142657,58142857,test
28,test_000028,0,background,random_background_test,chr22,13904549,13904749,test
29,test_000029,1,promoter,promoter,chr22,19292022,19292222,test
30,test_000030,1,promoter,promoter,chr19,44644188,44644388,test
31,test_000031,0,background,random_background_test,chr22,41878737,41878937,test
32,test_000032,0,background,random_background_test,chr21,41511087,41511287,test
33,test_000033,1,promoter,promoter,chr19,43504913,43505113,test
34,test_000034,1,promoter,promoter,chr20,59940271,59940471,test
35,test_000035,1,promoter,promoter,chr20,13392454,13392654,test
36,test_000036,1,promoter,promoter,chr20,58888208,58888408,test
37,test_000037,0,background,random_background_test,chr22,39934830,39935030,test
38,test_000038,1,promoter,promoter,chr19,6772820,6773020,test
39,test_000039,0,background,random_background_test,chr20,57626975,57627175,test
40,test_000040,0,background,random_background_test,chr20,13646087,13646287,test
41,test_000041,1,promoter,promoter,chr19,13151797,13151997,test
42,test_000042,0,background,random_background_test,chr20,55749106,55749306,test
43,test_000043,0,background,random_background_test,chr20,28623221,28623421,test
44,test_000044,0,background,random_background_test,chr19,21849790,21849990,test
45,test_000045,0,background,random_background_test,chr22,29271588,29271788,test
46,test_000046,0,background,random_background_test,chr20,46071300,46071500,test
